Entry_Date,Previous_timesheet_status,Current_timesheet_status,Full_name,Employee_number,Person_status,Employment_type,Client_name,Job_name,Hours,Task_name,Billing_rate,Cost,Time_Entry_ID,Timesheet_ID,Person_ID,Client_ID,Job_ID,Task_ID
6/23/2014,open,locked,Elizabeth Stewart,na,Active,Employee,Nakatomi Trading Corp.,Project Molybdenum,2.25,Meeting,190,10,1854509,1498876,100000003,100000000,100000001,100000002
7/12/2014,open,locked,Paul Pilkington,na,Active,Employee,Stark Industries,Project Molybdenum,2,Meeting,190,10,1221095,1926466,100000003,100000004,100000001,100000002
7/24/2014,open,locked,Shirley Weise,na,Active,Employee,Stark Industries,Payroll integration,5.75,Meeting,190,10,1719145,1965396,100000003,100000004,100000005,100000002
7/27/2014,open,locked,Ray Price,na,Active,Employee,Mammoth Pictures,API v2.0 update,1.75,Meeting,190,10,1938497,1286048,100000003,100000006,100000007,100000002
7/27/2014,open,locked,Michael Bonner,na,Active,Employee,Western Gas & Electric,New product lineup,5.5,Meeting,190,10,1277950,1983579,100000003,100000008,100000009,100000002
6/8/2014,open,locked,Ray Price,na,Active,Employee,North Central Positronics,API v2.0 update,2.75,Meeting,190,10,1528389,1351440,100000003,100000010,100000007,100000002
7/7/2014,open,locked,William Borden,na,Active,Employee,QWERTY Logistics,Fall marketing campaign,3.5,Meeting,190,10,1928735,1789730,100000003,100000011,100000012,100000002
7/24/2014,open,locked,Stephen Harmon,na,Active,Employee,Sirius Cybernetics Corp.,Payroll integration,0.75,Meeting,190,10,1223698,1804024,100000003,100000013,100000005,100000002
7/20/2014,open,locked,Claudia Mendes,na,Active,Employee,North Central Positronics,Payroll integration,3.5,Meeting,190,10,1839125,1264268,100000003,100000010,100000005,100000002
6/15/2014,open,locked,Claudia Mendes,na,Active,Employee,Sirius Cybernetics Corp.,API v2.0 update,1.75,Meeting,190,10,1488337,1466061,100000003,100000013,100000007,100000002
8/23/2014,open,locked,Claudia Mendes,na,Active,Employee,Stark Industries,Cloud migration,1.75,Meeting,190,10,1584199,1279031,100000003,100000004,100000014,100000002
6/28/2014,open,locked,William Borden,na,Active,Employee,North Central Positronics,Fall marketing campaign,0.5,Meeting,190,10,1706447,1858041,100000003,100000010,100000012,100000002
6/8/2014,open,locked,Elizabeth Stewart,na,Active,Employee,Nakatomi Trading Corp.,Cloud migration,0.5,Meeting,190,10,1212295,1141973,100000003,100000000,100000014,100000002
7/1/2014,open,locked,William Borden,na,Active,Employee,QWERTY Logistics,Payroll integration,0,Meeting,190,10,1848253,1124326,100000003,100000011,100000005,100000002
7/4/2014,open,locked,Jackie Winfield,na,Active,Employee,Stark Industries,Cloud migration,3.25,Meeting,190,10,1269361,1900468,100000003,100000004,100000014,100000002
8/15/2014,open,locked,Shirley Weise,na,Active,Employee,Stark Industries,API v2.0 update,4.75,Meeting,190,10,1244393,1854162,100000003,100000004,100000007,100000002
8/4/2014,open,locked,Claudia Mendes,na,Active,Employee,Nakatomi Trading Corp.,Export feature,1.5,Meeting,190,10,1881649,1353822,100000003,100000000,100000015,100000002
6/18/2014,open,locked,Shirley Weise,na,Active,Employee,Sirius Cybernetics Corp.,Project Molybdenum,1.75,Meeting,190,10,1850263,1858876,100000003,100000013,100000001,100000002
7/13/2014,open,locked,Ray Price,na,Active,Employee,Nakatomi Trading Corp.,Payroll integration,3.25,Meeting,190,10,1472942,1951519,100000003,100000000,100000005,100000002
8/31/2014,open,locked,Ray Price,na,Active,Employee,Sirius Cybernetics Corp.,Project Molybdenum,3,Meeting,190,10,1982431,1799615,100000003,100000013,100000001,100000002
8/30/2014,open,locked,Michael Bonner,na,Active,Employee,Western Gas & Electric,Project Molybdenum,3.75,Meeting,190,10,1968044,1097794,100000003,100000008,100000001,100000002
7/14/2014,open,locked,Michael Bonner,na,Active,Employee,QWERTY Logistics,Project Molybdenum,1.75,Meeting,190,10,1317818,1576707,100000003,100000011,100000001,100000002
7/13/2014,open,locked,Jackie Winfield,na,Active,Employee,Stark Industries,API v2.0 update,4.75,Meeting,190,10,1028004,1866733,100000003,100000004,100000007,100000002
8/27/2014,open,locked,Claudia Mendes,na,Active,Employee,QWERTY Logistics,Fall marketing campaign,3.5,Meeting,190,10,1414655,1912616,100000003,100000011,100000012,100000002
7/5/2014,open,locked,Claudia Mendes,na,Active,Employee,Western Gas & Electric,Export feature,1.25,Meeting,190,10,1918973,1302183,100000003,100000008,100000015,100000002
7/23/2014,open,locked,Stephen Harmon,na,Active,Employee,QWERTY Logistics,API v2.0 update,4.5,Meeting,190,10,1553023,1324558,100000003,100000011,100000007,100000002
8/1/2014,open,locked,Shirley Weise,na,Active,Employee,Stark Industries,Payroll integration,0.5,Meeting,190,10,1994985,1472745,100000003,100000004,100000005,100000002
6/21/2014,open,locked,Ray Price,na,Active,Employee,North Central Positronics,Payroll integration,1.75,Meeting,190,10,1427255,1335711,100000003,100000010,100000005,100000002
7/20/2014,open,locked,Elizabeth Stewart,na,Active,Employee,Mammoth Pictures,New product lineup,5,Meeting,190,10,1337721,1948166,100000003,100000006,100000009,100000002
6/23/2014,open,locked,Ray Price,na,Active,Employee,North Central Positronics,New product lineup,1.25,Meeting,190,10,1249034,1530440,100000003,100000010,100000009,100000002
8/5/2014,open,locked,Gregory Standifer,na,Active,Employee,QWERTY Logistics,New product lineup,4,Meeting,190,10,1639061,1488443,100000003,100000011,100000009,100000002
